ctime,datname,pid,usesysid,usename,application_name,client_addr,client_port,backend_start,xact_start,query_start,waiting,query,state,state_change
1417493193.49875,dbt3,6620,10,mark,psql,,-1,2014-12-02 05:06:33.497027+01,2014-12-02 05:06:33.498496+01,2014-12-02 05:06:33.498496+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV, HEADER);",active,2014-12-02 05:06:33.4985+01
1417493193.49875,dbt3,6619,10,mark,psql,,-1,2014-12-02 05:06:33.497009+01,2014-12-02 05:06:33.498747+01,2014-12-02 05:06:33.498747+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, relname, pid, mode, granted FROM pg_locks, pg_class WHERE relfilenode = relation ORDER BY relname) TO STDOUT (FORMAT CSV, HEADER);",active,2014-12-02 05:06:33.498751+01
1417493193.49875,dbt3,6621,10,mark,psql,,-1,2014-12-02 05:06:33.497202+01,2014-12-02 05:06:33.498748+01,2014-12-02 05:06:33.498748+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, pid, usesysid, usename, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV, HEADER);",active,2014-12-02 05:06:33.498752+01
1417493193.49875,dbt3,6622,10,mark,psql,,-1,2014-12-02 05:06:33.49738+01,2014-12-02 05:06:33.498845+01,2014-12-02 05:06:33.498845+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, seq_scan, seq_tup_read, idx_scan, idx_tup_fetch, n_tup_ins, n_tup_upd, n_tup_del, n_tup_hot_upd, n_live_tup, n_dead_tup, heap_blks_read, heap_blks_hit, idx_blks_read, idx_blks_hit, toast_blks_read, toast_blks_hit, tidx_blks_read, tidx_blks_hit FROM pg_statio_all_tables a, pg_stat_all_tables b WHERE a.relid = b.relid) TO STDOUT (FORMAT CSV, HEADER);",active,2014-12-02 05:06:33.498849+01
1417493193.49875,dbt3,6623,10,mark,psql,,-1,2014-12-02 05:06:33.497828+01,2014-12-02 05:06:33.499113+01,2014-12-02 05:06:33.499113+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV, HEADER);",active,2014-12-02 05:06:33.499118+01
1417493253.50317,dbt3,8094,10,mark,psql,,-1,2014-12-02 05:06:55.550117+01,2014-12-02 05:06:55.553467+01,2014-12-02 05:06:55.553775+01,f,"EXPLAIN (ANALYZE, BUFFERS)
select
	100.00 * sum(case
		when p_type like 'PROMO%'
			then l_extendedprice * (1 - l_discount)
		else 0
	end) / sum(l_extendedprice * (1 - l_discount)) as promo_revenue
from
	lineitem,
	part
where
	l_partkey = p_partkey
	and l_shipdate >= date '1996-12-01'
	and l_shipdate < cast(date '1996-12-01' + interval '1 month' as date);",active,2014-12-02 05:06:55.553776+01
1417493253.50317,dbt3,10506,10,mark,psql,,-1,2014-12-02 05:07:33.499275+01,2014-12-02 05:07:33.500941+01,2014-12-02 05:07:33.500941+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV);",active,2014-12-02 05:07:33.500947+01
1417493253.50317,dbt3,10505,10,mark,psql,,-1,2014-12-02 05:07:33.499255+01,2014-12-02 05:07:33.502466+01,2014-12-02 05:07:33.502466+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, relname, pid, mode, granted FROM pg_locks, pg_class WHERE relfilenode = relation ORDER BY relname) TO STDOUT (FORMAT CSV);",active,2014-12-02 05:07:33.502476+01
1417493253.50317,dbt3,10507,10,mark,psql,,-1,2014-12-02 05:07:33.500255+01,2014-12-02 05:07:33.503146+01,2014-12-02 05:07:33.503146+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV);",active,2014-12-02 05:07:33.503155+01
1417493253.50317,dbt3,10509,10,mark,psql,,-1,2014-12-02 05:07:33.500395+01,2014-12-02 05:07:33.50317+01,2014-12-02 05:07:33.50317+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, pid, usesysid, usename, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV);",active,2014-12-02 05:07:33.503179+01
