ctime,relname,pid,mode,granted
1417493193.49875,pg_locks,6619,AccessShareLock,t
1417493193.49875,pg_stat_activity,6621,AccessShareLock,t
1417493193.49875,pg_stat_all_indexes,6623,AccessShareLock,t
1417493193.49875,pg_stat_all_tables,6622,AccessShareLock,t
1417493193.49875,pg_stat_database,6620,AccessShareLock,t
1417493193.49875,pg_statio_all_indexes,6623,AccessShareLock,t
1417493193.49875,pg_statio_all_tables,6622,AccessShareLock,t
1417493253.50247,lineitem,8094,AccessShareLock,t
1417493253.50247,lineitem_l_orderkey_brin_idx,8094,AccessShareLock,t
1417493253.50247,lineitem_l_orderkey_idx_brin_part1,8094,AccessShareLock,t
1417493253.50247,lineitem_l_orderkey_idx_brin_part2,8094,AccessShareLock,t
1417493253.50247,lineitem_l_orderkey_l_linenumber_l_shipdate_brin_idx,8094,AccessShareLock,t
1417493253.50247,lineitem_l_partkey_l_quantity_brin_idx,8094,AccessShareLock,t
1417493253.50247,lineitem_l_partkey_l_quantity_idx,8094,AccessShareLock,t
1417493253.50247,lineitem_l_shipdate_l_suppkey_brin_idx,8094,AccessShareLock,t
1417493253.50247,part,8094,AccessShareLock,t
1417493253.50247,part_p_container_p_brand_p_partkey_idx,8094,AccessShareLock,t
1417493253.50247,part_p_name_idx,8094,AccessShareLock,t
1417493253.50247,part_p_size_brin_idx,8094,AccessShareLock,t
1417493253.50247,part_p_type_p_partkey_idx,8094,AccessShareLock,t
1417493253.50247,pg_locks,10505,AccessShareLock,t
1417493253.50247,pg_stat_activity,10509,AccessShareLock,t
1417493253.50247,pg_stat_all_indexes,10506,AccessShareLock,t
1417493253.50247,pg_stat_all_tables,10510,AccessShareLock,t
1417493253.50247,pg_stat_database,10507,AccessShareLock,t
1417493253.50247,pg_statio_all_indexes,10506,AccessShareLock,t
1417493253.50247,pg_statio_all_tables,10510,AccessShareLock,t
1417493253.50247,pk_lineitem,8094,AccessShareLock,t
1417493253.50247,pk_part,8094,AccessShareLock,t
1417493313.50259,lineitem,8094,AccessShareLock,t
1417493313.50259,lineitem_l_orderkey_brin_idx,8094,AccessShareLock,t
1417493313.50259,lineitem_l_orderkey_idx_brin_part1,8094,AccessShareLock,t
1417493313.50259,lineitem_l_orderkey_idx_brin_part2,8094,AccessShareLock,t
1417493313.50259,lineitem_l_orderkey_l_linenumber_l_shipdate_brin_idx,8094,AccessShareLock,t
1417493313.50259,lineitem_l_partkey_l_quantity_brin_idx,8094,AccessShareLock,t
1417493313.50259,lineitem_l_partkey_l_quantity_idx,8094,AccessShareLock,t
1417493313.50259,lineitem_l_shipdate_l_suppkey_brin_idx,8094,AccessShareLock,t
1417493313.50259,part,8094,AccessShareLock,t
1417493313.50259,part_p_container_p_brand_p_partkey_idx,8094,AccessShareLock,t
1417493313.50259,part_p_name_idx,8094,AccessShareLock,t
1417493313.50259,part_p_size_brin_idx,8094,AccessShareLock,t
1417493313.50259,part_p_type_p_partkey_idx,8094,AccessShareLock,t
1417493313.50259,pg_locks,18184,AccessShareLock,t
1417493313.50259,pg_stat_activity,18182,AccessShareLock,t
1417493313.50259,pg_stat_all_indexes,18186,AccessShareLock,t
1417493313.50259,pg_stat_all_tables,18183,AccessShareLock,t
1417493313.50259,pg_stat_database,18185,AccessShareLock,t
1417493313.50259,pg_statio_all_indexes,18186,AccessShareLock,t
1417493313.50259,pg_statio_all_tables,18183,AccessShareLock,t
1417493313.50259,pk_lineitem,8094,AccessShareLock,t
1417493313.50259,pk_part,8094,AccessShareLock,t
1417493373.50756,lineitem,25927,AccessShareLock,t
1417493373.50756,lineitem_l_orderkey_brin_idx,25927,AccessShareLock,t
1417493373.50756,lineitem_l_orderkey_idx_brin_part1,25927,AccessShareLock,t
1417493373.50756,lineitem_l_orderkey_idx_brin_part2,25927,AccessShareLock,t
1417493373.50756,lineitem_l_orderkey_l_linenumber_l_shipdate_brin_idx,25927,AccessShareLock,t
1417493373.50756,lineitem_l_partkey_l_quantity_brin_idx,25927,AccessShareLock,t
1417493373.50756,lineitem_l_partkey_l_quantity_idx,25927,AccessShareLock,t
1417493373.50756,lineitem_l_shipdate_l_suppkey_brin_idx,25927,AccessShareLock,t
1417493373.50756,nation,25927,AccessShareLock,t
1417493373.50756,orders,25927,AccessShareLock,t
1417493373.50756,orders_o_orderdate_o_orderkey_brin_idx,25927,AccessShareLock,t
1417493373.50756,orders_o_orderkey_o_orderdate_brin_idx,25927,AccessShareLock,t
1417493373.50756,part,25927,AccessShareLock,t
1417493373.50756,part_p_container_p_brand_p_partkey_idx,25927,AccessShareLock,t
1417493373.50756,part_p_name_idx,25927,AccessShareLock,t
1417493373.50756,part_p_size_brin_idx,25927,AccessShareLock,t
1417493373.50756,part_p_type_p_partkey_idx,25927,AccessShareLock,t
1417493373.50756,partsupp,25927,AccessShareLock,t
1417493373.50756,partsupp_ps_suppkey_idx,25927,AccessShareLock,t
1417493373.50756,pg_locks,25937,AccessShareLock,t
1417493373.50756,pg_stat_all_indexes,25939,AccessShareLock,t
1417493373.50756,pg_stat_all_tables,25938,AccessShareLock,t
1417493373.50756,pg_stat_database,25935,AccessShareLock,t
1417493373.50756,pg_statio_all_indexes,25939,AccessShareLock,t
1417493373.50756,pg_statio_all_tables,25938,AccessShareLock,t
1417493373.50756,pk_lineitem,25927,AccessShareLock,t
1417493373.50756,pk_nation,25927,AccessShareLock,t
1417493373.50756,pk_orders,25927,AccessShareLock,t
1417493373.50756,pk_part,25927,AccessShareLock,t
1417493373.50756,pk_partsupp,25927,AccessShareLock,t
1417493373.50756,pk_supplier,25927,AccessShareLock,t
1417493373.50756,supplier,25927,AccessShareLock,t
1417493373.50756,supplier_s_nationkey_s_suppkey_brin_idx,25927,AccessShareLock,t
1417493373.50756,supplier_s_suppkey_idx_like,25927,AccessShareLock,t
1417493433.50955,lineitem,25927,AccessShareLock,t
1417493433.50955,lineitem_l_orderkey_brin_idx,25927,AccessShareLock,t
1417493433.50955,lineitem_l_orderkey_idx_brin_part1,25927,AccessShareLock,t
1417493433.50955,lineitem_l_orderkey_idx_brin_part2,25927,AccessShareLock,t
1417493433.50955,lineitem_l_orderkey_l_linenumber_l_shipdate_brin_idx,25927,AccessShareLock,t
1417493433.50955,lineitem_l_partkey_l_quantity_brin_idx,25927,AccessShareLock,t
1417493433.50955,lineitem_l_partkey_l_quantity_idx,25927,AccessShareLock,t
1417493433.50955,lineitem_l_shipdate_l_suppkey_brin_idx,25927,AccessShareLock,t
1417493433.50955,nation,25927,AccessShareLock,t
1417493433.50955,orders,25927,AccessShareLock,t
1417493433.50955,orders_o_orderdate_o_orderkey_brin_idx,25927,AccessShareLock,t
1417493433.50955,orders_o_orderkey_o_orderdate_brin_idx,25927,AccessShareLock,t
1417493433.50955,part,25927,AccessShareLock,t
1417493433.50955,part_p_container_p_brand_p_partkey_idx,25927,AccessShareLock,t
1417493433.50955,part_p_name_idx,25927,AccessShareLock,t
1417493433.50955,part_p_size_brin_idx,25927,AccessShareLock,t
1417493433.50955,part_p_type_p_partkey_idx,25927,AccessShareLock,t
1417493433.50955,partsupp,25927,AccessShareLock,t
1417493433.50955,partsupp_ps_suppkey_idx,25927,AccessShareLock,t
